 35.000   7.000
  0.000  200
   128.000    128.000      0.000
 600    1
   1   93.926   -0.802
   2   93.966   -0.863
   3   93.879   -0.853
   4   93.883   -0.868
   5   93.889   -0.859
   6   93.880   -0.873
   7   93.909   -0.852
   8   93.887   -0.883
   9   93.920   -0.943
  10   93.905   -0.974
  11   93.902   -0.930
  12   93.896   -0.949
  13   93.916   -0.936
  14   93.907   -0.913
  15   93.929   -0.830
  16   93.928   -0.796
  17   93.938   -0.783
  18   93.948   -0.770
  19   93.958   -0.758
  20   93.978   -0.958
  21   93.980   -1.086
  22   93.962   -1.148
  23   93.969   -1.198
  24   93.976   -1.121
  25   94.000   -1.056
  26   93.986   -1.032
  27   94.000   -0.979
  28   94.022   -0.911
  29   94.033   -0.868
  30   94.049   -0.827
  31   94.083   -0.801
  32   94.086   -0.789
  33   94.068   -0.764
  34   94.087   -0.831
  35   94.087   -0.911
  36   94.066   -1.027
  37   94.045   -1.143
  38   94.098   -1.259
  39   94.102   -1.139
  40   94.107   -0.896
  41   94.110   -0.708
  42   94.121   -0.722
  43   94.125   -0.744
  44   94.121   -0.754
  45   94.100   -0.790
  46   94.177   -0.801
  47   94.134   -0.789
  48   94.124   -0.808
  49   94.144   -0.791
  50   94.167   -0.782
  51   94.170   -0.824
  52   94.180   -0.833
  53   94.175   -0.833
  54   94.181   -0.805
  55   94.171   -0.767
  56   94.165   -0.767
  57   94.215   -0.719
  58   94.206   -0.734
  59   94.213   -0.770
  60   94.194   -0.768
  61   94.233   -0.775
  62   94.233   -0.771
  63   94.233   -0.767
  64   94.228   -0.746
  65   94.243   -0.723
  66   94.260   -0.706
  67   94.266   -0.655
  68   94.286   -0.623
  69   94.316   -0.588
  70   94.321   -0.568
  71   94.323   -0.681
  72   94.320   -0.681
  73   94.336   -0.667
  74   94.346   -0.665
  75   94.355   -0.662
  76   94.365   -0.660
  77   94.402   -0.605
  78   94.425   -0.597
  79   94.434   -0.565
  80   94.436   -0.548
  81   94.464   -0.524
  82   94.493   -0.503
  83   94.496   -0.484
  84   94.475   -0.466
  85   94.454   -0.449
  86   94.494   -0.324
  87   94.527   -0.293
  88   94.522   -0.383
  89   94.516   -0.473
  90   94.511   -0.563
  91   94.535   -0.480
  92   94.538   -0.415
  93   94.557   -0.394
  94   94.552   -0.370
  95   94.561   -0.356
  96   94.574   -0.342
  97   94.579   -0.316
  98   94.595   -0.334
  99   94.610   -0.335
 100   94.619   -0.334
 101   94.615   -0.355
 102   94.634   -0.349
 103   94.618   -0.385
 104   94.635   -0.366
 105   94.654   -0.386
 106   94.642   -0.388
 107   94.656   -0.291
 108   94.655   -0.223
 109   94.659   -0.205
 110   94.681   -0.191
 111   94.690   -0.184
 112   94.692   -0.184
 113   94.667   -0.212
 114   94.685   -0.208
 115   94.675   -0.232
 116   94.686   -0.220
 117   94.707   -0.182
 118   94.721   -0.161
 119   94.735   -0.176
 120   94.772   -0.165
 121   94.770   -0.129
 122   94.773   -0.116
 123   94.734   -0.127
 124   94.726   -0.098
 125   94.751   -0.088
 126   94.764   -0.051
 127   94.779   -0.019
 128   94.789    0.004
 129   94.786    0.031
 130   94.827    0.057
 131   94.828    0.125
 132   94.838    0.201
 133   94.849    0.181
 134   94.821    0.206
 135   94.811    0.181
 136   94.839    0.232
 137   94.844    0.300
 138   94.850    0.353
 139   94.857    0.393
 140   94.860    0.386
 141   94.838    0.233
 142   94.826   -0.031
 143   94.776   -0.068
 144   94.782   -0.046
 145   94.797    0.097
 146   94.808    0.131
 147   94.817    0.135
 148   94.814    0.164
 149   94.820    0.195
 150   94.813    0.193
 151   94.829    0.112
 152   94.820    0.009
 153   94.773   -0.101
 154   94.784   -0.058
 155   94.769   -0.040
 156   94.763    0.078
 157   94.776    0.109
 158   94.775    0.107
 159   94.767    0.112
 160   94.771    0.119
 161   94.756    0.140
 162   94.746    0.147
 163   94.749    0.139
 164   94.757    0.158
 165   94.766    0.124
 166   94.763    0.142
 167   94.768    0.156
 168   94.792    0.184
 169   94.799    0.199
 170   94.807    0.230
 171   94.814    0.295
 172   94.784    0.305
 173   94.769    0.144
 174   94.781    0.145
 175   94.772    0.098
 176   94.789    0.131
 177   94.792    0.147
 178   94.817    0.156
 179   94.787    0.168
 180   94.821    0.231
 181   94.818    0.291
 182   94.805    0.314
 183   94.803    0.296
 184   94.798    0.316
 185   94.815    0.331
 186   94.816    0.369
 187   94.811    0.439
 188   94.825    0.471
 189   94.825    0.542
 190   94.814    0.593
 191   94.796    0.408
 192   94.777    0.223
 193   94.759    0.038
 194   94.762    0.096
 195   94.746    0.161
 196   94.761    0.190
 197   94.780    0.267
 198   94.783    0.297
 199   94.768    0.274
 200   94.764    0.253
 201   94.775    0.198
 202   94.756    0.152
 203   94.740    0.122
 204   94.742    0.120
 205   94.737    0.092
 206   94.718    0.172
 207   94.752    0.218
 208   94.736    0.235
 209   94.741    0.252
 210   94.745    0.260
 211   94.710    0.246
 212   94.690    0.230
 213   94.692    0.193
 214   94.711    0.214
 215   94.671    0.185
 216   94.694    0.216
 217   94.701    0.249
 218   94.728    0.262
 219   94.718    0.260
 220   94.760    0.264
 221   94.752    0.322
 222   94.732    0.347
 223   94.730    0.328
 224   94.708    0.309
 225   94.701    0.257
 226   94.717    0.297
 227   94.720    0.323
 228   94.740    0.337
 229   94.736    0.354
 230   94.745    0.343
 231   94.753    0.318
 232   94.731    0.314
 233   94.727    0.287
 234   94.733    0.310
 235   94.729    0.338
 236   94.731    0.367
 237   94.747    0.418
 238   94.740    0.448
 239   94.768    0.489
 240   94.730    0.517
 241   94.765    0.594
 242   94.755    0.577
 243   94.723    0.339
 244   94.691    0.101
 245   94.671    0.163
 246   94.664    0.227
 247   94.672    0.231
 248   94.687    0.291
 249   94.673    0.299
 250   94.695    0.320
 251   94.694    0.278
 252   94.670    0.235
 253   94.683    0.175
 254   94.679    0.199
 255   94.664    0.144
 256   94.650    0.238
 257   94.650    0.255
 258   94.660    0.230
 259   94.620    0.256
 260   94.634    0.308
 261   94.641    0.282
 262   94.637    0.296
 263   94.616    0.234
 264   94.631    0.224
 265   94.592    0.176
 266   94.615    0.204
 267   94.620    0.214
 268   94.627    0.233
 269   94.617    0.229
 270   94.643    0.259
 271   94.656    0.327
 272   94.662    0.396
 273   94.648    0.438
 274   94.651    0.492
 275   94.643    0.324
 276   94.630    0.274
 277   94.623    0.257
 278   94.649    0.311
 279   94.640    0.337
 280   94.646    0.342
 281   94.680    0.354
 282   94.669    0.357
 283   94.662    0.338
 284   94.661    0.335
 285   94.631    0.267
 286   94.648    0.282
 287   94.657    0.319
 288   94.656    0.351
 289   94.670    0.377
 290   94.652    0.441
 291   94.655    0.473
 292   94.664    0.482
 293   94.626    0.179
 294   94.635    0.111
 295   94.606    0.138
 296   94.585    0.206
 297   94.610    0.239
 298   94.616    0.253
 299   94.603    0.282
 300   94.611    0.298
 301   94.626    0.272
 302   94.610    0.244
 303   94.597    0.168
 304   94.575    0.083
 305   94.573   -0.001
 306   94.555    0.031
 307   94.569    0.278
 308   94.591    0.242
 309   94.572    0.251
 310   94.584    0.238
 311   94.555    0.244
 312   94.561    0.247
 313   94.549    0.210
 314   94.543    0.195
 315   94.535    0.105
 316   94.540    0.063
 317   94.546    0.123
 318   94.541    0.139
 319   94.552    0.155
 320   94.577    0.206
 321   94.582    0.282
 322   94.583    0.326
 323   94.539    0.296
 324   94.546    0.276
 325   94.517    0.136
 326   94.526    0.158
 327   94.543    0.196
 328   94.546    0.228
 329   94.563    0.233
 330   94.579    0.257
 331   94.589    0.289
 332   94.599    0.288
 333   94.577    0.255
 334   94.569    0.255
 335   94.544    0.234
 336   94.573    0.284
 337   94.588    0.351
 338   94.586    0.341
 339   94.594    0.361
 340   94.578    0.387
 341   94.601    0.452
 342   94.544    0.132
 343   94.513   -0.056
 344   94.529   -0.029
 345   94.499    0.056
 346   94.528    0.119
 347   94.481    0.133
 348   94.560    0.215
 349   94.534    0.220
 350   94.537    0.213
 351   94.556    0.209
 352   94.525    0.174
 353   94.495    0.047
 354   94.544    0.030
 355   94.479   -0.185
 356   94.482   -0.200
 357   94.533   -0.039
 358   94.486    0.049
 359   94.502    0.132
 360   94.495    0.149
 361   94.512    0.129
 362   94.496    0.127
 363   94.516    0.044
 364   94.476    0.032
 365   94.474    0.024
 366   94.483    0.043
 367   94.494    0.043
 368   94.483    0.049
 369   94.541    0.065
 370   94.547    0.090
 371   94.555    0.128
 372   94.527    0.128
 373   94.530   -0.010
 374   94.493   -0.040
 375   94.503    -0.10
 376   94.495   -0.035
 377   94.519    0.018
 378   94.527    0.046
 379   94.536    0.089
 380   94.545    0.124
 381   94.558    0.135
 382   94.550    0.121
 383   94.560    0.105
 384   94.573    0.101
 385   94.540    0.138
 386   94.563    0.158
 387   94.563    0.211
 388   94.554    0.230
 389   94.581    0.271
 390   94.574    0.311
 391   94.555    0.143
 392   94.541   -0.155
 393   94.519   -0.151
 394   94.542   -0.086
 395   94.493   -0.032
 396   94.520   -0.002
 397   94.510    0.016
 398   94.531    0.040
 399   94.519    0.039
 400   94.540    0.071
 401   94.531    0.099
 402   94.522    0.042
 403   94.527    0.019
 404   94.517   -0.074
 405   94.502   -0.183
 406   94.495   -0.195
 407   94.464   -0.152
 408   94.501   -0.063
 409   94.473    0.024
 410   94.483   -0.006
 411   94.457   -0.056
 412   94.538   -0.072
 413   94.487   -0.095
 414   94.465   -0.087
 415   94.473   -0.105
 416   94.448   -0.104
 417   94.489   -0.051
 418   94.471    -0.01
 419   94.467    0.046
 420   94.491    0.066
 421   94.487    0.095
 422   94.492     0.10
 423   94.477   -0.020
 424   94.464   -0.143
 425   94.468   -0.132
 426   94.486   -0.109
 427   94.468   -0.086
 428   94.460   -0.031
 429   94.470   -0.015
 430   94.494   -0.007
 431   94.498    0.068
 432   94.493    0.080
 433   94.481    0.073
 434   94.510    0.088
 435   94.453    0.096
 436   94.436    0.109
 437   94.478    0.175
 438   94.487    0.174
 439   94.494    0.252
 440   94.447    0.126
 441   94.489   -0.014
 442   94.504   -0.167
 443   94.423   -0.153
 444   94.420   -0.107
 445   94.400   -0.089
 446   94.377   -0.063
 447   94.378   -0.031
 448   94.427   -0.011
 449   94.435   -0.013
 450   94.487    0.016
 451   94.446   -0.004
 452   94.464   -0.084
 453   94.425   -0.115
 454   94.410   -0.092
 455   94.460   -0.169
 456   94.353   -0.189
 457   94.452   -0.224
 458   94.435   -0.134
 459   94.440    0.013
 460   94.405   -0.020
 461   94.396   -0.020
 462   94.448   -0.046
 463   94.412   -0.116
 464   94.409   -0.197
 465   94.299   -0.240
 466   94.273   -0.230
 467   94.344   -0.197
 468   94.384   -0.196
 469   94.378   -0.162
 470   94.435   -0.099
 471   94.427   -0.117
 472   94.400   -0.213
 473   94.329   -0.377
 474   94.374   -0.335
 475   94.382   -0.285
 476   94.366   -0.249
 477   94.365   -0.177
 478   94.398   -0.141
 479   94.403   -0.148
 480   94.420   -0.152
 481   94.292   -0.181
 482   94.442   -0.127
 483   94.418   -0.144
 484   94.397   -0.161
 485   94.249   -0.171
 486   94.207   -0.143
 487   94.403    0.038
 488   94.356    0.068
 489   94.367    0.057
 490   94.427   -0.125
 491   94.400   -0.356
 492   94.415   -0.383
 493   94.155   -0.375
 494   94.358   -0.253
 495   94.315   -0.223
 496   94.333   -0.215
 497   94.266   -0.229
 498   94.351   -0.194
 499   94.328   -0.191
 500   94.385   -0.183
 501   94.344   -0.270
 502   94.374   -0.262
 503   94.317   -0.373
 504   94.307   -0.350
 505   94.280   -0.366
 506   94.252   -0.382
 507   94.225   -0.397
 508   94.307   -0.348
 509   94.230   -0.244
 510   94.369   -0.054
 511   94.353   -0.115
 512   94.363   -0.154
 513   94.104   -0.376
 514   94.296   -0.279
 515   93.934   -0.446
 516   94.129   -0.379
 517   94.145   -0.348
 518   94.295   -0.293
 519   94.181   -0.285
 520   94.319   -0.198
 521   94.228   -0.284
 522   94.307   -0.285
 523   93.908   -0.660
 524   94.143   -0.521
 525   93.910   -0.631
 526   94.149   -0.443
 527   93.810   -0.567
 528   94.104   -0.378
 529   94.196   -0.293
 530   94.345   -0.239
 531   94.132   -0.346
 532   94.231   -0.324
 533   93.968   -0.463
 534   94.260   -0.342
 535   93.794   -0.570
 536   93.993   -0.458
 537   93.943   -0.374
 538   93.930   -0.458
 539   93.917   -0.542
 540   93.904   -0.626
 541   93.952   -0.525
 542   93.911   -0.552
 543   93.727   -0.697
 544   93.959   -0.599
 545   93.738   -0.747
 546   93.952   -0.532
 547   93.679   -0.640
 548   93.887   -0.477
 549   93.812   -0.527
 550   94.012   -0.393
 551   93.746   -0.632
 552   93.809   -0.656
 553   93.744   -0.786
 554   93.978   -0.635
 555   93.697   -0.782
 556   93.773   -0.730
 557   93.724   -0.705
 558   93.940   -0.607
 559   93.735   -0.746
 560   93.968   -0.643
 561   93.738   -0.769
 562   93.732   -0.772
 563   93.722   -0.746
 564   93.847   -0.671
 565   93.722   -0.756
 566   93.754   -0.740
 567   93.759   -0.704
 568   93.832   -0.638
 569   93.801   -0.634
 570   93.981   -0.488
 571   93.756   -0.826
 572   93.760   -0.928
 573   93.768   -0.931
